State,Year,med_legal_year,rec_legal_year,burglary_total,mv_theft_total,drug_vio_total,larceny_total,agg_assault_total,homicide_total,robbery_total,unem_rate,pop_est,poverty_rate,med_house_income,educ_attainment
Alabama,2005,2021,,35828,10796,6,97640,9016,308,5636,4.5,4569805,16.7,37150,79
Alabama,2006,2021,,34957,11905,3,93940,7798,312,5980,4,4628981,14.3,37950,80.1
Alabama,2007,2021,,39221,12439,3,107798,9635,351,6728,4.1,4672840,14.5,42210,80.4
Alabama,2008,2021,,47238,12728,1,118629,10883,336,7042,5.9,4718206,14.3,44480,81.9
Alabama,2009,2021,,47280,10771,6,114313,12624,318,6122,9.7,4757938,16.6,39980,82.1
Alabama,2010,2021,,37009,9183,9,101661,10435,219,3977,10.4,4785514,17.2,40930,82.1
Alabama,2011,2021,,49629,10426,19,108787,13204,296,4840,9.6,4799642,15.4,42590,82.7
Alabama,2012,2021,,46176,9630,96,108195,14612,336,4935,8.2,4816632,16.2,43460,84
Alabama,2013,2021,,39860,10066,61,103176,13041,295,4429,7.4,4831586,16.7,47320,84.5
Alabama,2014,2021,,37397,9607,113,98385,12970,269,4480,6.8,4843737,17.8,42280,84.7
Alabama,2015,2021,,33854,9945,86,95735,15315,343,4495,6.1,4854803,16.3,44510,84.9
Alabama,2016,2021,,33167,11377,148,95059,18314,396,4563,5.8,4866824,16.2,47220,85.1
Alabama,2017,2021,,29909,12075,711,94455,17729,397,3922,4.5,4877989,15.3,50870,86.5
Alabama,2018,2021,,27055,12364,470,90369,17774,361,3873,3.9,4891628,16,49940,86.6
Alabama,2019,2021,,9621,4820,718,37753,7411,138,1109,3.2,4907965,12.9,56200,87.1
Alabama,2020,2021,,8885,5110,2404,35711,8302,240,1179,6.4,5033094,14.9,54690,88
Alabama,2021,2021,,11971,8192,20011,42982,12224,418,1275,3.4,5049196,15.9,56930,87.9
Alabama,2022,2021,,13792,9717,30231,59690,15703,516,1612,2.5,5076181,13.6,59910,88.8
Alabama,2023,2021,,12796,10123,28667,61971,15783,491,1779,2.5,5117673,14.2,60660,89.1
,,,,,,,,,,,,,,,
Alaska,2005,1998,2014,4060,2560,0,16840,3035,32,533,6.9,666946,10.8,55890,91
Alaska,2006,1998,2014,4105,2511,0,17006,3427,35,597,6.6,675302,10.9,56420,89.7
Alaska,2007,1998,2014,3686,2406,0,16658,3312,43,578,6.2,680300,9.8,62990,90.5
Alaska,2008,1998,2014,3211,1616,0,15082,3334,27,644,6.5,687455,9.2,63990,91.6
Alaska,2009,1998,2014,3570,1674,0,15106,3210,22,652,7.8,698895,9.1,61600,91.4
Alaska,2010,1998,2014,3085,1608,0,15413,3361,31,592,8,713982,11,57850,91
Alaska,2011,1998,2014,2842,1377,0,14742,3352,30,576,7.6,722349,10.8,57430,91.8
Alaska,2012,1998,2014,2939,1514,0,15452,3150,30,628,7.1,730810,10.8,63650,92
Alaska,2013,1998,2014,2902,1686,0,16495,3105,34,623,6.9,737626,10.1,72470,91.6
Alaska,2014,1998,2014,3136,1730,0,15350,3224,41,627,6.7,737075,11.4,67630,92.9
Alaska,2015,1998,2014,3496,2039,0,15169,3652,59,759,6.3,738430,10.4,75110,92.6
Alaska,2016,1998,2014,4036,3049,0,17683,3992,52,848,6.6,742575,9.9,75720,93.1
Alaska,2017,1998,2014,4153,4250,0,17683,4236,62,949,6.6,740983,11,77990,91.7
Alaska,2018,1998,2014,3975,3992,0,16327,4377,47,896,6.1,736624,11.1,68730,93.3
Alaska,2019,1998,2014,3558,2612,0,15095,4349,69,826,5.6,733603,10.2,78390,93.6
Alaska,2020,1998,2014,2741,1946,2,11721,4215,48,705,8.3,733017,9.6,74750,93.7
Alaska,2021,1998,2014,872,710,1166,3449,1666,23,102,6.4,734420,10.8,81130,93.3
Alaska,2022,1998,2014,2003,1810,1156,9448,3983,70,555,4.3,734442,10.8,89740,93.3
Alaska,2023,1998,2014,1852,1985,1421,10006,3868,59,572,4.2,736510,10.5,98190,93.2
,,,,,,,,,,,,,,,
Arizona,2005,2010,2020,53254,53093,0,169406,18561,425,8426,4.6,5839077,14.4,45250,83.8
Arizona,2006,2010,2020,58608,56248,27,157918,21196,527,9442,4.3,6029141,14.2,46660,83.8
Arizona,2007,2010,2020,58424,49292,27,156763,19520,540,9693,3.7,6167681,14.1,47220,83.5
Arizona,2008,2010,2020,58074,38278,0,150815,18843,459,9768,5.8,6280362,14.7,46910,83.8
Arizona,2009,2010,2020,53838,26216,270,137349,17580,378,8159,9.7,6343154,16.5,45740,84.2
Arizona,2010,2010,2020,50150,21328,94,135329,16426,405,6901,10.4,6407342,17.6,46900,85.6
Arizona,2011,2010,2020,54100,19624,396,138014,16829,389,7117,9.5,6473416,19,48620,85.7
Arizona,2012,2010,2020,52218,18683,248,132959,17829,351,7350,8.4,6556344,18.7,47040,85.7
Arizona,2013,2010,2020,47820,16784,469,156768,17164,351,6627,7.8,6634690,18.6,52610,85.9
Arizona,2014,2010,2020,42554,17019,496,150247,16182,305,6176,6.8,6732873,18.2,49250,86.1
Arizona,2015,2010,2020,37677,16687,651,151064,20198,304,6334,6.1,6832810,17.4,52250,86.1
Arizona,2016,2010,2020,37894,18328,1089,149515,21130,389,7008,5.5,6944767,16.4,57100,86.7
